rookieYear,throwOnRunRating,powerMovesRating,dropOpenPassTrait,hPCatchTrait,kickAccRating,dLSpinTrait,runBlockFinesseRating,throwPowerRating,homeState,agilityRating,posCatchTrait,hitPowerRating,legacyScore,throwAccShortRating,stiffArmRating,routeRunShortRating,feetInBoundsTrait,pressRating,height,rosterId,injuryLength,injuryType,pursuitRating,leadBlockRating,confRating,breakTackleRating,jukeMoveRating,throwAccDeepRating,dLBullRushTrait,dLSwimTrait,capReleasePenalty,devTrait,catchRating,capHit,lastName,age,staminaRating,contractBonus,strengthRating,contractLength,desiredLength,sensePressureTrait,bigHitTrait,passBlockFinesseRating,awareRating,isFreeAgent,runBlockPowerRating,capReleaseNetSavings,highMotorTrait,routeRunMedRating,productionGrade,tackleRating,throwAwayTrait,experiencePoints,bCVRating,sizeGrade,isOnIR,contractSalary,runBlockRating,durabilityGrade,birthDay,coverBallTrait,skillPoints,predictTrait,teamSchemeOvr,playBallTrait,birthMonth,kickPowerRating,jumpRating,playActionRating,toughRating,physicalGrade,desiredBonus,homeTown,desiredSalary,passBlockRating,passBlockPowerRating,isOnPracticeSquad,finesseMovesRating,specCatchRating,tightSpiralTrait,manCoverRating,draftPick,zoneCoverRating,birthYear,carryRating,weight,reSignStatus,intangibleGrade,teamId,speedRating,breakSackRating,yACCatchTrait,runStyle,portraitId,college,firstName,impactBlockRating,draftRound,changeOfDirectionRating,truckRating,decisionMakerTrait,jerseyNum,blockShedRating,throwUnderPressureRating,yearsPro,spinMoveRating,clutchTrait,releaseRating,rosterGoalList,penaltyTrait,stripBallTrait,qBStyleTrait,position,injuryRating,fightForYardsTrait,signatureSlotList,accelRating,playerSchemeOvr,throwAccRating,kickRetRating,playerBestOvr,presentationId,playRecRating,scheme,lBStyleTrait,throwAccMidRating,contractYearsLeft,routeRunDeepRating,isActive,cITRating
2027,10,12,0,1,15,0,16,27,37,91,1,19,372,15,45,90,1,19,75,551027795,4,97,24,21,54,79,88,6,0,0,20000000,3,91,20000000,Harrison Jr,25,90,50000000,57,5,0,0,0,15,86,False,23,10000000,0,90,56,24,0,2384,94,90,False,50000000,48,0,11,1,0,0,89,0,8,25,95,6,88,90,0,Philadelphia,0,22,18,False,18,96,0,17,7,25,2002,82,209,24,89,758644746,94,22,1,1,10102,Ohio State,Marvin,38,2,93,42,0,18,15,23,3,76,1,90,[],2,0,2,WR,89,0,"[{'locked': False, 'ovrThreshold': 0, 'signatureAbility': {'signatureLogoId': 1103, 'marketplaceAbilityAlias': '', 'signatureDeactivationDescription': 'Consecutive passes not targeted', 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureTitle': 'Double Me', 'signatureActivationDescription': 'Make 20+ yard catches', 'activationId': '', 'deactivationId': '', 'startActivated': False, 'isUnlocked': False, 'abilityGUID': '', 'abilityRank': 'ABILITIESRANK_BRONZE', 'isPassive': False, 'signatureDescription': 'Aggressive receivers overpower defenders and attack the football. When they enter the zone, this ability increases their success rate on aggressive catches against single coverage.'}, 'isEmpty': False}, {'locked': False, 'ovrThreshold': 75, 'signatureAbility': {'signatureLogoId': 1157, 'marketplaceAbilityAlias': '', 'signatureDeactivationDescription': '', 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureTitle': 'Matchup Nightmare', 'signatureActivationDescription': '', 'activationId': '', 'deactivationId': '', 'startActivated': False, 'isUnlocked': False, 'abilityGUID': '', 'abilityRank': 'ABILITIESRANK_BRONZE', 'isPassive': False, 'signatureDescription': 'Receivers with this ability make sharper cuts and frequently win contested catches when covered by linebackers and linemen.'}, 'isEmpty': False}, {'locked': False, 'ovrThreshold': 80, 'signatureAbility': {'signatureLogoId': 1341, 'marketplaceAbilityAlias': '', 'signatureDeactivationDescription': '', 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureTitle': 'Reach For It', 'signatureActivationDescription': '', 'activationId': '', 'deactivationId': '', 'startActivated': False, 'isUnlocked': False, 'abilityGUID': '', 'abilityRank': 'ABILITIESRANK_BRONZE', 'isPassive': False, 'signatureDescription': 'Ballcarriers with this ability will frequently attempt to gain extra yards while being tackled'}, 'isEmpty': False}, {'locked': False, 'ovrThreshold': 85, 'signatureAbility': {'signatureLogoId': 1399, 'marketplaceAbilityAlias': '', 'signatureDeactivationDescription': '', 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureTitle': 'Persistent', 'signatureActivationDescription': '', 'activationId': '', 'deactivationId': '', 'startActivated': False, 'isUnlocked': False, 'abilityGUID': '', 'abilityRank': 'ABILITIESRANK_BRONZE', 'isPassive': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone'}, 'isEmpty': False}, {'locked': True, 'ovrThreshold': 95, 'signatureAbility': {'signatureLogoId': 0, 'marketplaceAbilityAlias': '', 'signatureDeactivationDescription': '', 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureTitle': '', 'signatureActivationDescription': '', 'activationId': '', 'deactivationId': '', 'startActivated': False, 'isUnlocked': False, 'abilityGUID': '', 'abilityRank': 'ABILITIESRANK_BRONZE', 'isPassive': False, 'signatureDescription': ''}, 'isEmpty': False}]",93,92,22,50,92,14643,28,0,2,10,2,94,True,97
2022,6,67,0,0,20,0,45,24,15,89,0,85,2767,6,47,39,0,72,76,551029135,0,97,90,18,51,43,68,6,1,1,11400000,1,75,9170000,Simmons,29,90,26100000,73,4,0,1,1,45,80,False,45,3470000,0,36,79,85,0,11083,69,99,False,19500000,29,0,26,4,0,0,86,2,7,20,93,6,87,87,0,Olathe,0,23,45,False,64,67,0,80,28,78,1998,65,238,24,86,758644746,92,12,0,11,569,Clemson,Isaiah,67,3,85,39,2,19,75,12,7,63,0,43,[],1,0,2,MLB,93,0,[],92,86,21,58,86,21000,90,11,2,6,2,32,True,60
2022,6,46,0,0,11,0,35,23,13,87,0,83,2537,6,43,30,0,73,75,551027154,0,97,87,20,49,43,70,6,0,0,9000000,1,72,5950000,Chinn,29,90,22500000,70,6,0,1,1,35,81,False,35,2950000,1,22,67,74,0,6846,62,99,False,22500000,35,0,26,2,0,0,82,2,2,14,91,6,93,87,0,Fishers,0,35,35,False,56,67,0,71,7,77,1998,68,220,24,82,758644746,91,15,0,11,211,Southern Illinois,Jeremy,57,4,86,48,2,11,59,18,7,56,0,20,[],1,0,2,SS,89,0,[],92,83,29,48,83,21151,86,11,2,6,3,10,True,58
2027,42,11,0,0,19,0,44,48,39,89,1,33,308,38,66,85,0,22,73,551028302,0,97,41,34,35,82,84,25,0,0,6000000,1,94,12000000,Legette,26,85,24000000,73,4,3,0,0,32,77,False,36,6000000,0,90,60,38,0,2500,88,97,False,24000000,56,0,29,1,0,0,85,0,1,23,92,31,84,91,20200000,Mullins,19140000,47,35,False,11,94,0,23,28,28,2001,80,221,2,85,758644746,93,46,1,11,10156,South Carolina,Xavier,57,5,86,63,0,17,36,33,3,78,0,85,[],1,0,2,WR,89,1,[],93,87,22,81,87,14652,23,0,2,32,1,88,True,90
2027,5,83,0,0,18,0,45,29,8,73,0,85,110,5,10,10,0,10,74,551028666,4,97,88,20,45,21,10,5,1,1,29540000,1,35,12410000,Newton,25,86,29540000,85,4,0,0,0,45,82,False,45,9870000,1,10,55,93,0,1952,10,95,False,33870000,45,0,31,1,0,0,86,0,8,26,80,5,90,82,0,St. Petersburg,0,45,45,False,91,12,0,12,28,22,2002,40,304,24,86,758644746,78,21,0,5,10193,Illinois,Jer'Zhan,83,7,67,10,0,95,89,10,3,10,0,12,[],0,0,2,DT,90,0,[],82,86,35,12,86,14751,86,0,0,5,4,10,True,10
2019,10,10,1,1,19,0,63,13,29,83,0,15,1423,15,80,80,1,10,76,551028681,7,97,37,50,38,78,79,6,0,0,10500000,2,92,15190000,Njoku,31,88,35500000,72,4,3,1,0,58,92,False,58,4690000,0,76,65,36,0,32179,87,94,False,16500000,63,0,10,4,0,0,87,1,7,15,95,6,78,81,28000000,Cedar Grove,14090000,65,63,False,10,88,0,26,7,23,1996,77,246,2,87,758644746,87,12,1,12,8674,Miami,David,65,8,74,73,2,85,42,10,10,73,0,83,[],1,0,2,TE,87,1,"[{'locked': False, 'ovrThreshold': 75, 'signatureAbility': {'signatureLogoId': 1203, 'marketplaceAbilityAlias': '', 'signatureDeactivationDescription': '', 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureTitle': 'TE Apprentice', 'signatureActivationDescription': '', 'activationId': '', 'deactivationId': '', 'startActivated': False, 'isUnlocked': False, 'abilityGUID': '', 'abilityRank': 'ABILITIESRANK_BRONZE', 'isPassive': False, 'signatureDescription': 'When lined up at tight end, players with this ability have access to four additional hot routes during pre-play adjustments.'}, 'isEmpty': False}, {'locked': False, 'ovrThreshold': 80, 'signatureAbility': {'signatureLogoId': 1345, 'marketplaceAbilityAlias': '', 'signatureDeactivationDescription': '', 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureTitle': 'Short In Elite', 'signatureActivationDescription': '', 'activationId': '', 'deactivationId': '', 'startActivated': False, 'isUnlocked': False, 'abilityGUID': '', 'abilityRank': 'ABILITIESRANK_BRONZE', 'isPassive': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes less than 10 yards from the LoS, inside the numbers'}, 'isEmpty': False}, {'locked': False, 'ovrThreshold': 85, 'signatureAbility': {'signatureLogoId': 1949, 'marketplaceAbilityAlias': '', 'signatureDeactivationDescription': '', 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureTitle': 'Steamroller', 'signatureActivationDescription': '', 'activationId': '', 'deactivationId': '', 'startActivated': False, 'isUnlocked': False, 'abilityGUID': '', 'abilityRank': 'ABILITIESRANK_BRONZE', 'isPassive': False, 'signatureDescription': 'Ballcarriers with this ability retain more of their forward momentum during tackles while travelling at high speeds.'}, 'isEmpty': False}]",90,90,12,40,90,12532,13,6,1,10,1,73,True,85
2027,24,26,0,0,14,0,30,29,23,85,0,47,1030,25,79,65,0,29,73,551026890,29,97,47,36,36,90,94,15,0,0,9600000,2,70,5260000,Benson,25,86,15000000,77,6,0,0,0,30,76,False,27,2860000,0,59,77,49,0,6683,93,89,False,20500000,43,0,23,1,0,0,81,0,7,18,83,20,82,90,0,Greenville,0,54,33,False,31,53,0,27,7,34,2002,97,223,24,81,758644746,93,32,0,2,10011,Florida State,Trey,40,10,89,79,0,33,42,20,3,90,0,56,[],2,0,2,HB,91,1,"[{'locked': False, 'ovrThreshold': 75, 'signatureAbility': {'signatureLogoId': 1150, 'marketplaceAbilityAlias': '', 'signatureDeactivationDescription': '', 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureTitle': 'Juke Box', 'signatureActivationDescription': '', 'activationId': '', 'deactivationId': '', 'startActivated': False, 'isUnlocked': False, 'abilityGUID': '', 'abilityRank': 'ABILITIESRANK_BRONZE', 'isPassive': False, 'signatureDescription': 'Ballcarriers with this ability have steerable juke animations.'}, 'isEmpty': False}, {'locked': False, 'ovrThreshold': 80, 'signatureAbility': {'signatureLogoId': 1214, 'marketplaceAbilityAlias': '', 'signatureDeactivationDescription': '', 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureTitle': 'Balance Beam', 'signatureActivationDescription': '', 'activationId': '', 'deactivationId': '', 'startActivated': False, 'isUnlocked': False, 'abilityGUID': '', 'abilityRank': 'ABILITIESRANK_BRONZE', 'isPassive': False, 'signatureDescription': 'Avoid stumbling when carrying the ball'}, 'isEmpty': False}, {'locked': False, 'ovrThreshold': 85, 'signatureAbility': {'signatureLogoId': 1949, 'marketplaceAbilityAlias': '', 'signatureDeactivationDescription': '', 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureTitle': 'Steamroller', 'signatureActivationDescription': '', 'activationId': '', 'deactivationId': '', 'startActivated': False, 'isUnlocked': False, 'abilityGUID': '', 'abilityRank': 'ABILITIESRANK_BRONZE', 'isPassive': False, 'signatureDescription': 'Ballcarriers with this ability retain more of their forward momentum during tackles while travelling at high speeds.'}, 'isEmpty': False}]",94,89,25,77,89,14622,37,0,2,20,4,55,True,52
2027,85,10,0,0,21,0,10,97,8,77,0,21,3630,97,40,10,0,10,77,551028545,3,97,24,19,41,51,56,86,0,0,5000000,2,27,6500000,Milton III,27,78,12500000,64,5,0,4,0,12,71,False,10,4000000,0,10,63,24,0,6513,72,98,False,20000000,17,0,6,1,0,0,81,0,3,22,83,92,82,92,0,Pahokee,0,12,14,False,10,10,1,10,28,12,2000,60,235,24,81,758644746,83,71,0,11,10180,Tennessee,Joe,24,11,75,60,0,1,22,92,3,50,0,13,[],1,0,1,QB,86,1,"[{'locked': False, 'ovrThreshold': 75, 'signatureAbility': {'signatureLogoId': 1353, 'marketplaceAbilityAlias': '', 'signatureDeactivationDescription': '', 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureTitle': 'Tight Out', 'signatureActivationDescription': '', 'activationId': '', 'deactivationId': '', 'startActivated': False, 'isUnlocked': False, 'abilityGUID': '', 'abilityRank': 'ABILITIESRANK_BRONZE', 'isPassive': False, 'signatureDescription': 'Passers with this ability improve the catching prowess of all tight ends who are open on pass plays.'}, 'isEmpty': False}, {'locked': False, 'ovrThreshold': 80, 'signatureAbility': {'signatureLogoId': 1146, 'marketplaceAbilityAlias': '', 'signatureDeactivationDescription': '', 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureTitle': 'Inside Deadeye', 'signatureActivationDescription': '', 'activationId': '', 'deactivationId': '', 'startActivated': False, 'isUnlocked': False, 'abilityGUID': '', 'abilityRank': 'ABILITIESRANK_BRONZE', 'isPassive': False, 'signatureDescription': 'Passers with this ability have perfect accuracy on all throws inside the numbers (except on high/low throws).'}, 'isEmpty': False}, {'locked': False, 'ovrThreshold': 85, 'signatureAbility': {'signatureLogoId': 1153, 'marketplaceAbilityAlias': '', 'signatureDeactivationDescription': '', 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureTitle': 'Lofting Deadeye', 'signatureActivationDescription': '', 'activationId': '', 'deactivationId': '', 'startActivated': False, 'isUnlocked': False, 'abilityGUID': '', 'abilityRank': 'ABILITIESRANK_BRONZE', 'isPassive': False, 'signatureDescription': 'Passers with this ability have perfect accuracy on all lob or touch passes (except high/low and cross-body throws).'}, 'isEmpty': False}]",85,88,78,10,88,14614,16,0,2,95,2,10,True,10
2025,6,58,0,0,16,0,80,24,9,76,0,66,627,6,10,15,0,10,77,551028122,4,97,61,89,35,15,10,6,0,0,1500000,1,34,4000000,Jones,26,88,6000000,86,4,2,1,0,85,84,False,82,2500000,0,9,85,54,0,794,10,99,False,10000000,81,0,16,4,0,0,80,0,5,14,74,6,86,86,7540000,Lithonia,6440000,92,82,False,43,26,0,12,28,15,2001,35,311,2,80,758644746,73,12,0,15,2243,Georgia,Broderick,90,13,59,15,2,77,55,11,4,10,0,15,[],2,0,2,RT,92,0,[],83,81,40,10,81,22849,57,4,1,6,1,5,True,24
2023,42,76,0,0,17,0,45,40,35,82,0,88,228,40,47,20,0,44,76,551027204,0,97,89,26,45,31,34,31,1,1,500000,1,73,2250000,Collins,28,91,2000000,76,4,2,1,1,45,74,False,45,1750000,0,10,12,91,0,5812,49,99,False,7000000,45,0,19,3,0,0,76,2,5,19,84,26,85,84,7450000,Hominy,5370000,45,45,False,67,63,0,62,7,73,1999,56,260,2,76,758644746,86,45,0,3,1012,Tulsa,Zaven,79,16,75,52,2,25,83,37,6,36,0,12,[],1,1,2,LOLB,92,0,[],87,82,25,10,82,21495,73,20,2,34,1,5,True,64
